Растение	Регион
золототысячник обыкновенный;	Тамбовская область
золототысячник обыкновенный;	Удмуртская республика
золототысячник обыкновенный;	Чувашская республика
золототысячник обыкновенный;	Ярославская область
истод тонколистный;	Кемеровская область
копеечник альпийский;	Вологодская область
копеечник альпийский;	Еврейская автономная область
копеечник альпийский;	Республика Коми
копеечник альпийский;	Мурманская область
копеечник альпийский;	Республика Татарстан
копеечник альпийский;	Томская область
копеечник альпийский;	Удмуртская республика
копытень европейский;	Республика Алтай
копытень европейский;	Алтайский край
копытень европейский;	Республика Карелия
копытень европейский;	Кемеровская область
копытень европейский;	Новосибирская область
копытень европейский;	Оренбургская область
копытень европейский;	Ростовская область
копытень европейский;	Тюменская область
копытень европейский;	Ханты-Мансийский автономный округ
коровяк густоцветковый;	Калужская область
коровяк густоцветковый;	Саратовская область
красавка обыкновенная;	Карачаево-Черкесская Республика
красавка обыкновенная;	Российская Федерация
кровохлёбка лекарственная;	Вологодская область
кровохлёбка лекарственная;	Ивановская область
кровохлёбка лекарственная;	Костромская область
кровохлёбка лекарственная;	Новгородская область
крушина ольховидная;	Мурманская область
кубышка жёлтая;	Республика Адыгея
кубышка жёлтая;	Республика Дагестан
кубышка жёлтая;	Иркутская область
кубышка жёлтая;	Республика Калмыкия
кубышка жёлтая;	Краснодарский край
кубышка жёлтая;	Ненецкий автономный округ
кубышка жёлтая;	Омская область
кубышка жёлтая;	Ростовская область
кубышка жёлтая;	Свердловская область
кубышка жёлтая;	Ставропольский край
кубышка жёлтая;	Республика Хакасия
кубышка жёлтая;	Ямало-Ненецкий автономный округ
лабазник обыкновенный;	Кировская область
лабазник обыкновенный;	Красноярский край
лабазник обыкновенный;	Ленинградская область
лабазник обыкновенный;	Новгородская область
лабазник обыкновенный;	Псковская область
ландыш кейске;	Забайкальский край
ландыш кейске;	Читинская область
ландыш майский;	Астраханская область
ландыш майский;	Республика Ингушетия
ландыш майский;	Мурманская область
ландыш майский;	Ставропольский край
ландыш майский;	Удмуртская республика
лапчатка белая;	Белгородская область
лапчатка белая;	Воронежская область
лапчатка белая;	Калужская область
лапчатка белая;	Липецкая область
лапчатка белая;	Московская область
лапчатка белая;	Пензенская область
лапчатка белая;	Саратовская область
лапчатка белая;	Смоленская область
лапчатка белая;	Тамбовская область
лапчатка белая;	Республика Татарстан
лапчатка белая;	Ульяновская область
лапчатка прямостоячая;	Кемеровская область
лапчатка прямостоячая;	Республика Коми
лапчатка прямостоячая;	Омская область
лапчатка прямостоячая;	Самарская область
лапчатка прямостоячая;	Республика Татарстан
лапчатка прямостоячая;	Томская область
леспедеца двуцветная;	Забайкальский край
леспедеца двуцветная;	Читинская область
лимонник китайский;	Амурская область
лимонник китайский;	Еврейская автономная область
липа сердцевидная;	Республика Коми
липа сердцевидная;	Курганская область
липа сердцевидная;	Новосибирская область
липа сердцевидная;	Омская область
липа сердцевидная;	Томская область
липа сердцевидная;	Тюменская область
липа сердцевидная;	Ханты-Мансийский автономный округ
ломонос виноградолистный;	Республика Дагестан
ломонос виноградолистный;	Республика Северная Осетия — Алания
ломонос виноградолистный;	Ставропольский край
марена красильная;	Чеченская Республика
мачок жёлтый;	Краснодарский край
мачок жёлтый;	Российская Федерация
можжевельник обыкновенный;	Брянская область
можжевельник обыкновенный;	Воронежская область
можжевельник обыкновенный;	Кемеровская область
можжевельник обыкновенный;	Липецкая область
можжевельник обыкновенный;	Республика Мордовия
